Dist, px;Temp, gray values;;;;;;GV;Temp
642,00;118,21;75,76;;;;;;
643,00;116,01;74,56;;;;;;
644,00;97,14;64,28;;;;;;
645,00;88,76;59,72;;;;;;
646,00;196,82;118,56;;;;;;
647,00;202,81;121,82;;;;;;
648,00;46,00;36,44;;;;;;
649,00;90,17;60,49;;;;;;
650,00;112,70;72,75;;;;;;
651,00;116,42;74,78;;;;;;
652,00;116,18;74,65;;;;;;
653,00;116,13;74,62;;;;;;
654,00;116,09;74,60;;;;;;
655,00;116,02;74,57;;;;;;
656,00;115,99;74,55;;;;;;
657,00;114,91;73,96;;;;;;
658,00;114,81;73,91;;;;;;
659,00;114,72;73,86;;;;;;
660,00;114,73;73,86;;;;;;
661,00;114,66;73,82;;;;;;
662,00;115,45;74,25;;;;;;
663,00;115,37;74,21;;;;;;
664,00;115,28;74,16;;;;;;
665,00;115,39;74,22;;;;;;
666,00;116,09;74,60;;;;;;
667,00;116,01;74,56;;;;;;
668,00;115,20;74,12;;;;;;
669,00;115,13;74,08;;;;;;
670,00;115,06;74,04;;;;;;
671,00;114,99;74,01;;;;;;
672,00;114,92;73,97;;;;;;
673,00;114,86;73,93;;;;;;
674,00;114,79;73,90;;;;;;
675,00;114,72;73,86;;;;;;
676,00;115,10;74,06;;;;;;
677,00;115,06;74,04;;;;;;
678,00;114,53;73,76;;;;;;
679,00;114,46;73,71;;;;;;
680,00;113,93;73,43;;;;;;
681,00;113,88;73,40;;;;;;
682,00;113,27;73,07;;;;;;
683,00;113,19;73,02;;;;;;
684,00;112,76;72,79;;;;;;
685,00;112,70;72,76;;;;;;
686,00;112,66;72,74;;;;;;
687,00;111,63;72,18;;;;;;
688,00;111,57;72,14;;;;;;
689,00;111,53;72,12;;;;;;
690,00;111,48;72,09;;;;;;
691,00;111,22;71,95;;;;;;
692,00;110,60;71,61;;;;;;
693,00;110,52;71,57;;;;;;
694,00;110,45;71,53;;;;;;
695,00;110,39;71,50;;;;;;
696,00;110,32;71,46;;;;;;
697,00;110,25;71,43;;;;;;
698,00;110,19;71,39;;;;;;
699,00;110,12;71,35;;;;;;
700,00;110,05;71,32;;;;;;
701,00;109,98;71,28;;;;;;
702,00;109,89;71,23;;;;;;
703,00;109,80;71,18;;;;;;
704,00;109,79;71,17;;;;;;
705,00;109,72;71,13;;;;;;
706,00;109,65;71,10;;;;;;
707,00;110,43;71,52;;;;;;
708,00;109,54;71,04;;;;;;
709,00;109,45;70,99;;;;;;
710,00;109,39;70,95;;;;;;
711,00;109,32;70,92;;;;;;
712,00;108,52;70,48;;;;;;
713,00;108,19;70,30;;;;;;
714,00;108,12;70,26;;;;;;
715,00;108,05;70,23;;;;;;
716,00;107,98;70,19;;;;;;
717,00;107,92;70,15;;;;;;
718,00;107,85;70,12;;;;;;
719,00;107,39;69,87;;;;;;
720,00;106,73;69,51;;;;;;
721,00;106,65;69,46;;;;;;
722,00;106,58;69,43;;;;;;
723,00;106,04;69,13;;;;;;
724,00;105,46;68,82;;;;;;
725,00;105,38;68,77;;;;;;
726,00;105,32;68,74;;;;;;
727,00;104,85;68,48;;;;;;
728,00;104,20;68,13;;;;;;
729,00;104,12;68,08;;;;;;
730,00;104,05;68,05;;;;;;
731,00;103,67;67,84;;;;;;
732,00;104,58;68,34;;;;;;
733,00;104,57;68,33;;;;;;
734,00;104,52;68,30;;;;;;
735,00;104,48;68,28;;;;;;
736,00;104,43;68,26;;;;;;
737,00;104,39;68,23;;;;;;
738,00;104,34;68,21;;;;;;
739,00;104,30;68,18;;;;;;
740,00;104,13;68,09;;;;;;
741,00;104,11;68,08;;;;;;
742,00;104,16;68,11;;;;;;
743,00;105,03;68,58;;;;;;
744,00;105,04;68,59;;;;;;
745,00;105,97;69,09;;;;;;
746,00;105,97;69,09;;;;;;
747,00;105,91;69,06;;;;;;
748,00;104,88;68,50;;;;;;
749,00;104,85;68,48;;;;;;
750,00;104,81;68,46;;;;;;
751,00;105,62;68,90;;;;;;
752,00;105,71;68,95;;;;;;
753,00;105,68;68,93;;;;;;
754,00;105,81;69,00;;;;;;
755,00;106,56;69,41;;;;;;
756,00;107,73;70,05;;;;;;
757,00;107,75;70,06;;;;;;
758,00;107,73;70,05;;;;;;
759,00;107,70;70,04;;;;;;
760,00;107,68;70,02;;;;;;
761,00;107,66;70,01;;;;;;
762,00;107,64;70,00;;;;;;
763,00;107,62;69,99;;;;;;
764,00;107,59;69,98;;;;;;
765,00;107,57;69,96;;;;;;
766,00;107,55;69,95;;;;;;
767,00;107,98;70,19;;;;;;
768,00;108,00;70,20;;;;;;
